Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Fusobacteriaceae	Family	Bacteria		Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae			0	0	29406000	0	106921000	0	104450000	15997000	0	0	54657000	0	30668000	0	0	46331000	0	117867000
Oribacterium	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium		32925000	30105000	21575700	61945000	0	53175000	83741000	52917000	40393000	64120000	89045000	30408000	93390000	35984000	50706000	70210000	32828000	24184000
Dialister succinatiphilus	Species	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister succinatiphilus	0	1495357000	0	0	0	2620586000	0	0	0	0	0	530285400	1050493500	648253400	0	0	1108267700	0
Prevotella stercorea	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella stercorea	19473000	185774000	0	0	0	560403500	26241000	113338000	87928000	22670000	19383000	204801200	278705200	186770200	111168000	54724000	382349500	67093000
Faecalibacterium	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium		8316848500	9366326700	3498701200	17320229100	4340551500	21991850300	31306751200	17127764800	11605990300	26786906700	30402821800	17412134600	26218936600	19106961300	14800422300	26291158400	16320994600	6950735500
Paraprevotella	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella		16538000	41767000	10488000	569640000	52619200	406919000	646915400	190534800	136714400	345772800	155560500	15363000	21514000	15299000	159995700	614827000	20573000	108197000
Veillonella	Genus	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella		0	0	0	0	0	0	19427000	0	0	13507000	24892000	0	0	0	7184600	0	0	0
Subdoligranulum	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum		1427224900	1810988000	3124430100	3532524500	6915607400	2671129500	1873978700	3260862000	2287942400	1549771600	1987106100	358312500	269162500	339964300	2933107100	4209682500	1568237500	8019483000
Prevotella sp. oral taxon 473	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Prevotella sp. oral taxon 473	0	57817000	0	0	0	95916000	0	0	0	0	0	71553000	128601000	80066000	0	0	52747600	0
Clostridiales bacterium KLE1615	Species	Bacteria		Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium KLE1615	51396000	47230000	0	41960000	0	0	13861000	41511000	38548000	30786000	45253000	0	15023000	15983000	45456000	0	0	52326000
Hungatella	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella		28513000	44021000	142459000	52837000	226569000	46393000	50480000	200585000	191183400	33917000	50703000	30410000	38635000	40935000	214347000	39044000	16280000	143070000
Bacteroidaceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae			9678833800	1995953700	6483698500	33062206000	14939164400	8061859800	25661953200	10625439600	7306966300	19757921460	25816963850	683445500	1040749200	696463500	10148522200	56264131580	7131163900	24918805300
Bacteroides	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		9678833800	1995953700	6483698500	33062206000	14939164400	8061859800	25661953200	10625439600	7306966300	19757921460	25816963850	683445500	1040749200	696463500	10148522200	56264131580	7131163900	24918805300
Bacteroides thetaiotaomicron	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	223600900	0	0	894040800	0	0	0	0	0	0	23246000	0	0	0	0	1457547900	0	7035800
Succinivibrionaceae	Family	Bacteria		Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae			0	37472000	7837400	0	53685100	70292000	7674700	0	0	0	10959000	44184000	43389000	37729000	14382000	16131000	31022000	0
Odoribacteraceae	Family	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae			4198700	0	27052000	17371200	0	0	12954000	0	41501000	21177200	17130000	0	0	0	0	59018800	11041700	13868000
Bacteroides uniformis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	0	0	0	0	0	20231500	0	0	0	0	0	0	0	0	0	30111000	19814900	0
Bacteroides vulgatus	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus	57778000	309397000	27930300	246908600	104570000	928605300	132591000	40335600	21367500	77233500	104334000	0	55258700	5389200	40509000	412660000	769442200	138340000
Parabacteroides distasonis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides distasonis	708110600	0	0	1226124000	0	0	354576800	0	0	300526000	371009000	0	0	0	0	1135285000	0	0
Erysipelotrichaceae	Family	Bacteria		Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae			10471000	129108200	82968400	0	0	191937000	13374000	12538000	32100300	0	33784000	21870100	0	5909800	71721000	32374100	26017000	2500600
Butyrivibrio	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio		10480000	31380000	40377700	0	30230000	13935000	21728000	51002000	33646000	16802800	62717000	12805400	19643000	9357900	46613000	34700800	17740900	17410000
Subdoligranulum variabile	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum variabile	1413401900	1810988000	3124430100	3483424500	6915607400	2645004500	1873978700	3260862000	2287942400	1512813600	1987106100	358312500	269162500	339964300	2933107100	4209682500	1568237500	8019483000
Porphyromonas	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas		15982000	139631000	0	57433000	0	83277000	8556400	0	0	19136000	0	20625000	28895000	0	0	52680000	0	0
Prevotella	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		172675000	20734079600	8694429900	904777000	24209275800	51740538400	481356900	1.13012E+11	78615475000	396380700	439377100	47583757600	70970718000	56522047800	87536408220	2941069700	45524251500	34799375000
Oscillibacter sp. 1-3	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. 1-3	0	13472000	5880400	32396000	25611000	40052500	0	0	0	0	0	0	0	0	0	87789000	20295400	15676000
Prevotella ruminicola	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella ruminicola	0	112004800	39191000	0	92700000	200092200	0	261105000	189851000	0	0	236657900	348439200	196545000	233925000	0	133057000	155360000
Roseburia	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		1473871500	802236400	1159695200	3914128900	1689401300	1939815600	5311576800	14950671000	10757857800	3339893000	5697739100	2215278400	3260793000	2374490400	11848352300	6878582900	1010642500	2972373600
Alistipes finegoldii	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	0	0	0	71979000	0	0	0	0	0	0	0	0	0	0	0	232914400	0	0
Fusobacterium	Genus	Bacteria		Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		0	0	29406000	0	106921000	0	104450000	15997000	0	0	54657000	0	30668000	0	0	46331000	0	117867000
Faecalibacterium prausnitzii	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	8225226000	9263191500	3435119200	16879369100	4278303500	21915146700	29874409700	16829573900	11361880300	25578607800	28730343600	17351849600	26135229900	19047481100	14546758000	25355443900	16315399400	6857120000
Clostridium sp. M62/1	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. M62/1	0	16954000	0	0	0	15885000	0	0	0	0	0	5600000	0	0	0	0	11542000	0
Bacteroides sp. HPS0048	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. HPS0048	0	0	0	0	9793300	0	0	0	0	0	0	0	0	0	0	0	0	39093000
Campylobacterales	Order	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales				0	75782000	0	81361000	73896000	144000000	0	36877000	0	0	0	0	0	0	31453000	34157000	76702000	12691000
Streptomyces	Genus	Bacteria		Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		35657000	115860000	67088000	53586000	95208000	103030000	95039000	74644000	53027000	77352000	89161000	29945000	35778000	25171000	75039000	130590000	71443000	170200000
Clostridium sp. L2-50	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. L2-50	67762000	0	0	106080000	0	0	2248438000	0	0	1592027000	1108893000	37286000	13132000	42763000	0	328040000	0	0
Desulfovibrio	Genus	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio		0	139044000	386586000	0	332847000	210352000	0	0	0	0	0	10310000	0	0	0	0	57672000	131954000
Epsilonproteobacteria	Class	Bacteria		Proteobacteria	Epsilonproteobacteria					0	75782000	0	81361000	73896000	144000000	0	36877000	0	0	0	0	0	0	31453000	34157000	76702000	12691000
Desulfovibrio desulfuricans	Species	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans	0	18955000	101128000	0	112646000	18426000	0	0	0	0	0	0	0	0	0	0	25016000	63579000
Oscillibacter valericigenes	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter valericigenes	0	913082000	25048000	37878000	82689100	301070000	0	0	0	0	0	0	0	0	0	30356000	82798700	31769000
Acidaminococcus	Genus	Bacteria		Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus		11076000	6015765600	0	28071000	0	6986495300	40338000	0	0	13788000	144519000	278762900	342668400	305253700	0	56483000	2853061800	12144000
Acidaminococcus fermentans	Species	Bacteria		Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans	11076000	5562311300	0	28071000	0	6173278300	40338000	0	0	13788000	20879000	250002000	325047800	290319500	0	56483000	2376028200	12144000
Megasphaera	Genus	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera		56557000	17765208300	443692400	0	350745500	9030081900	0	282136000	194472700	0	0	249633100	221155800	250909600	251892500	0	275290600	246867900
